0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,label
-82.12359,139.50592,-42.430866,24.82786,-11.620764,23.497084,-12.19459,25.897139,-9.405277,21.21043,-7.3688216,14.254338,-8.6786995,7.7502384,-10.124115,3.258119,-11.352619,2.8009686,-7.0460134,3.9133134,-2.3349748,2.0124226,-2.793944,4.1292744,-1.6207688,4.3262014,-1.0344098,-1.2329768,-3.1108537,0.3204486,-1.7877866,0.44295514,-1.7916478,-0.76361805,-1.2424643,-0.27664027,0.65718526,-0.5023713,-2.6042857,-1.0534623,siren
-15.744005,124.119965,-29.42888,39.447193,-23.501913,16.550816,-21.736818,16.533573,-16.97173,4.4835835,-17.38769,0.7371223,-16.289228,5.112149,-10.559232,2.9178739,-10.390848,0.6513003,-10.046337,-1.78348,-6.099714,5.629787,-4.651114,-1.3691925,-8.249166,-2.3619273,-4.796206,-0.5025693,-5.4106755,2.0780447,7.1860027,8.185747,0.7673607,0.32726133,-2.2136655,-3.106838,-5.7238493,0.82370543,1.7193218,-0.33146182,street_music
-123.393654,15.181946,-50.09333,7.1418734,-26.817034,-0.6925032,-8.223075,13.512939,-11.382056,19.949352,-11.193459,9.592905,-8.269169,4.591708,-4.116093,-0.12660998,-9.266361,12.86465,-6.7681313,0.17970629,-5.586145,6.8240633,-7.443423,6.7138557,0.8869611,7.952473,-7.8040466,4.751357,-5.9170437,-0.51082855,-2.8931217,3.7525046,-4.3756495,5.624626,-4.870826,1.8876829,-3.8860335,1.57439,-3.9967422,3.2457495,drilling
-213.27881,89.323586,-55.256187,12.632097,-47.775375,14.702908,19.039341,15.974401,-0.34462142,-3.852786,-5.713519,14.502379,7.356252,2.7715092,-12.166412,-7.542644,-1.0771816,-8.326868,11.310694,13.05464,-12.440859,-17.75111,0.052153308,2.1083653,5.238723,9.593654,-3.7647338,-2.269558,-6.741192,-8.637591,12.0566435,-4.878238,-5.166286,1.1192766,-2.2813683,5.829508,1.194035,7.465469,-1.7858784,-15.0114565,siren
-237.92648,135.90245,39.26844,21.24024,9.531328,13.8851185,-3.9944458,12.481486,-2.604627,6.070915,2.238367,4.1749725,-1.903013,2.307794,-2.6607997,-0.6649147,4.498244,3.7720432,3.3712642,1.5995865,-0.53491867,-0.19514069,0.627361,3.2097337,1.3389415,0.10433047,0.9072743,-2.270939,-0.529898,0.20006758,0.54183227,-0.3010831,0.531196,-0.5161493,1.7384466,1.1096364,2.7579405,2.1594024,0.626567,0.6920181,dog_bark
-250.35834,128.01357,-47.575787,25.62807,-26.70792,13.660258,-4.0266232,5.164237,7.8053665,10.534707,-6.276586,3.0622873,1.346355,10.927397,-1.8723357,11.11998,-1.5588439,1.337055,-6.041244,0.28369573,-0.46846193,3.074427,1.7389196,2.6016114,0.42318654,3.5061572,0.5752812,-0.8051749,-0.87499994,-0.7700001,-1.0630285,-2.6025913,-0.26291364,-1.3103534,-3.686214,-2.6783328,-1.2609502,-4.8175926,-3.705896,-3.604831,children_playing
-203.97552,83.95814,-66.73028,18.53646,-20.581497,1.906205,-6.121213,15.71991,-6.935401,11.426914,-5.830719,6.4777803,-3.897224,11.948621,-9.477356,14.071952,-3.1041229,5.2037263,-3.4652362,-0.45673847,2.214041,3.357927,-6.8529887,3.8733816,-6.7413974,3.930734,2.3199692,2.2980077,1.6242003,-5.634476,0.22213551,4.339722,-5.6934667,4.0492454,0.56495374,-0.20875433,2.3246627,-7.4189296,1.8970436,3.5763376,street_music
-55.400555,22.76732,-46.07987,8.980095,-29.80627,22.077936,-22.545788,0.8512561,-23.257723,-1.964685,-23.24148,3.348349,-18.35755,-0.79060763,-8.003727,3.5172014,-6.015965,9.502482,-2.9558518,14.92133,1.521998,8.875392,-2.592535,1.7239796,-1.5193202,5.242552,-3.127525,-0.80575776,-6.639179,-0.2378234,-3.2971685,-0.4308126,-9.624969,-2.0571575,-3.0858796,5.3102856,-1.325025,3.760949,4.7755613,6.379787,drilling
-110.22915,91.258995,-137.43895,57.104736,-42.575893,18.36583,-31.951092,8.053197,-16.543415,-3.269818,-14.399264,2.538663,-2.0901535,2.5881824,2.1704965,2.4819713,0.41965073,-3.368144,3.1450622,-4.766719,5.1513,-6.309612,6.510503,-0.91636026,1.5809952,0.48622775,0.9139679,0.6717582,-0.26086342,1.1030154,-1.3593842,4.249854,-3.769599,3.4218278,-2.576816,3.2385287,-2.007735,1.9452585,0.1857629,0.061090395,gun_shot
-337.76004,140.77518,-15.511056,17.61511,8.220655,14.850394,-12.830464,17.522957,-12.018428,5.557879,-14.806482,2.994653,-12.039109,5.238573,-1.5709156,18.816,3.6932268,8.523731,-6.9725933,-0.74070764,-8.901391,2.918848,-2.2483754,0.35982051,-5.378055,-1.5482924,-4.026717,-0.6330993,-4.7789874,-0.40437242,-0.28043082,3.7080526,1.2759068,1.3834414,-2.2710931,-2.1470592,-1.6477246,0.03680883,-1.9627409,-0.694242,dog_bark
-182.77821,168.2233,19.15673,37.371353,0.70016706,29.758076,2.2935252,19.214535,-1.4269011,13.53015,-5.8525343,12.344306,-1.2350545,10.139303,-5.1300526,3.6145837,-6.0402184,-8.175287,-7.474783,-10.372831,-6.3459263,-0.38424325,-1.22965,-5.636897,-6.507342,-6.792892,-4.3276834,-1.5225544,-2.317548,-2.1042707,3.5311263,1.9162204,-1.508153,2.303785,8.088768,2.6507375,5.287161,2.7512019,5.8685565,-0.7889286,engine_idling
-178.80864,174.40054,-30.283926,-8.904558,-15.133156,4.7039084,-3.8522103,17.601578,2.2484887,27.616417,6.229217,15.839333,-6.947548,5.098185,-8.898608,3.7995725,-4.970738,0.9553879,-6.158532,9.426019,3.451746,7.0267467,2.7115247,6.272804,-1.8928422,2.0235145,0.490091,-1.1491218,-4.7900877,2.9957879,1.4808632,-0.5902182,1.7159255,3.4444861,0.5846734,1.9312499,-0.5355541,-2.1655214,-0.6384028,-1.1775109,siren
-542.24,21.403486,4.164693,0.022397505,-3.163203,2.419338,3.2284884,8.435926,5.8387966,7.557699,5.002622,6.683084,7.083552,6.0490494,5.2555957,6.3202176,5.5215106,5.414097,5.0285816,5.678063,5.4149294,5.987178,5.2497854,5.3101215,5.2528734,4.798774,4.466104,4.630765,4.523893,4.132868,4.1705184,4.4075537,4.6615777,4.2577863,4.185252,5.0408773,4.8642817,4.4680023,4.209555,4.3995295,gun_shot
-103.05681,164.84615,-15.67658,49.735847,9.312111,17.344044,-21.178793,16.941267,0.37433258,9.673095,-5.4070673,12.6797695,-6.836292,8.581432,0.5932081,9.925986,-5.3600388,3.2542121,2.8016582,6.0351253,-4.330696,4.2723937,-0.9972836,4.15928,0.97830254,3.4975753,-2.5547838,-2.1756454,2.3521671,1.3492845,-2.1002262,-0.44845924,2.6635334,2.183786,-1.4195294,-3.4914486,-0.6288724,-1.4296236,0.9483565,-0.927468,engine_idling
-192.07228,132.09007,-98.84944,0.67741513,-25.435389,-9.677654,-31.589743,-3.2358665,-24.849833,-5.7216616,-23.516775,-5.847936,-24.831636,-10.386575,-23.963856,-17.127188,-21.74111,-10.443719,-11.343135,-6.586454,-12.10374,-11.110559,-13.287957,-13.126059,-15.36659,-9.475933,-8.2901945,-5.0611796,-5.2760825,-7.8324714,-7.31578,-5.874001,-2.988504,-2.184654,-2.1187747,-4.074117,-5.864284,-4.720396,-1.1819433,-2.6562026,air_conditioner
-199.52899,183.66898,-7.1428475,10.107983,-11.258211,-0.34833828,-18.18922,14.460937,-19.322914,4.061364,-13.59207,-2.6621294,-23.60603,-15.101528,-17.96085,-4.6422577,-15.372468,-2.0277374,-1.0822484,0.5231847,-7.7155085,-7.299812,-10.467752,-4.2673855,-11.049077,-17.458197,-6.1220384,-1.785276,-5.780333,-6.432517,1.6107703,2.1803448,1.0215852,-5.0871625,-0.12434005,-5.417029,-1.124043,-1.161184,-0.5497659,-3.773328,air_conditioner
-363.9007,176.4064,42.354965,44.845352,20.407356,37.93451,5.3331885,23.630613,4.0751567,11.233554,3.9465742,4.804924,-1.4119685,-3.8330114,-2.0721066,-3.8421352,-6.660766,-8.824783,-1.8869444,-6.5119643,-2.5806293,-6.148154,-3.3620934,-4.108357,-3.3536081,-3.5247633,-3.1119123,-3.2549093,-3.8335533,-3.0624204,-1.0403795,-1.739388,-5.063506,-1.264133,-0.51054674,-3.5201352,-3.4498105,-1.9625028,-1.7783225,-4.239701,engine_idling
-315.29916,184.21286,-6.5808682,-0.34168574,-10.026158,32.38708,-1.6628267,14.956826,-2.4625273,16.03081,-2.7545,9.1303215,-4.615025,8.892119,-1.2209789,4.744163,-1.5385524,4.361718,0.17918313,2.893383,-1.7281126,3.3386378,0.7453398,2.0624998,-0.17352542,0.8359844,1.0286695,0.96533805,1.8335397,0.667516,1.7819309,0.43572274,-0.09363221,-0.6694215,0.14525127,-1.3771511,-0.3221622,-2.1262276,-0.5292197,-1.2430825,siren
-275.1185,92.69044,-40.458584,1.7915664,-19.934328,3.9973772,-10.702622,-0.57978255,-7.1338215,0.65247506,-6.6066556,2.7816324,-3.6062946,1.9024907,-3.7675407,0.14677805,-4.7266917,-1.0331111,-0.69574255,-1.2611238,-4.5227695,-3.7819788,0.1513424,-2.4750447,-3.7549498,-4.813998,-2.5280793,-8.308034,-6.8166237,-5.459604,-3.902787,-4.9114065,-3.8712938,-3.0503604,-2.4691544,-2.9917727,-1.7804,-2.1337957,-3.086111,-0.4141286,children_playing
-145.9223,122.60996,3.8436208,22.734741,-12.243429,17.076925,-13.488778,23.064054,-13.1128435,14.480836,-15.412195,11.609378,-11.261879,3.1561081,-5.4228764,-2.6056824,-11.383934,0.8840749,-7.501711,9.57821,-10.656903,5.677099,-9.159182,5.9792566,-5.338076,4.776751,-0.02878414,5.1887136,1.6631551,5.0012527,3.4824543,1.1660955,-8.104415,-0.33611113,-4.0148997,2.288124,-4.2662225,1.5685921,-4.671808,-1.1884019,jackhammer
-524.5738,66.772896,-13.707637,-12.295136,-23.671215,-6.397805,-13.61649,4.8976736,1.0644633,7.140486,-2.1932404,4.8289537,6.539421,7.7848988,2.4178183,4.590388,3.4796317,4.1837626,2.5341985,3.8788462,2.7661314,2.3847535,1.3766888,1.2691323,1.7249733,1.1729394,2.2588851,1.6994499,1.7542013,0.14359114,0.5317308,0.6529914,1.0476583,1.3299382,1.4591571,1.8792673,1.5342745,1.374385,0.24202201,2.0469275,gun_shot
-266.85333,192.05753,-38.415848,14.898576,-18.072401,23.537645,2.8749893,11.918587,-16.395065,0.47873387,-4.7223315,9.488665,-7.5439324,-7.2179513,-10.928732,3.2825568,-1.9307365,0.69642967,-5.6740017,-3.7444942,0.16609453,0.03258296,-0.16571124,-2.0143802,0.90507567,0.81231713,4.355857,-0.6644927,-3.1954331,-0.93483686,0.44661602,-1.1080371,-2.473981,-4.056449,-1.7551321,-1.5589886,0.27204216,-2.5869892,-2.55273,-2.8528852,siren
